Colocação;Número;Nome;Horário de chegada;Tempo de corrida;Categoria;
1;14;lucas;21:38:42;00:00:47;1.5km;
2;12;joão;21:38:13;00:00:18;1.5km;
3;11;ana;21:37:08;00:00:05;1.5km;
4;10;matheus;Não registrado;Não registrado;1.5km;
5;18;rafael;Não registrado;Não registrado;1.5km;
6;17;larissa;Não registrado;Não registrado;1.5km;
7;16;pedro;Não registrado;Não registrado;1.5km;
8;15;mariana;Não registrado;Não registrado;1.5km;
9;13;carla;Não registrado;Não registrado;1.5km;
10;19;juliana;Não registrado;Não registrado;1.5km;
